Supporting Information for CO2 Rise Directly Impairs Crop Nutritional Quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data S1: Input Database, see Data S2 for details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By S.F. ter Haar*, P.M. van Bodegom, and L. Scherer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Institute of Environmental Sciences (CML), Leiden University, Leiden, The Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*email: s.f.ter.haar@cml.leidenuniv.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientific Name,Family,Genus,Species,Cultivar,Common Name,Photosynthetic Pathway,Tissue,Study Type,Plot Type,Elevated CO2,Ambient CO2,Added CO2,Additional Info,Elevated temperature,Irrigation,Sowing Time,Phosphorous application,Nitrogen application,Ozone,Year,Latitude,Longitude,Country,Reference,n,element,delta,ln r,Origin,Year Published
Capsicum annuum 'Melchor',Solanaceae,Capsicum,annuum,Melchor,sweet pepper,C3,fruit,greenhouse,pot,800,380,420,,,,,,NO3-/NH4+,,,,,,Pinero et al 2017,6,Ca,37.23874755,3.643849335,snowball,2017
Capsicum annuum 'Melchor',Solanaceae,Capsicum,annuum,Melchor,sweet pepper,C3,fruit,greenhouse,pot,800,380,420,,,,,,NO3-/NH4+,,,,,,Pinero et al 2017,6,Cu,18.25,2.957511061,snowball,2017
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,Ca,0,0,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,375,175,,,,,,N50,,2000,52.3,10.43,Germany,Erbs et 2010,2,Zn,0,0,Loladze,2010
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2000,52.3,10.43,Germany,Wroblewitz et al 2013,2,Na,0,0,Loladze,2013
Hordeum vulgare 'Theresa',Poaceae,Hordeum,vulgare,Theresa,barley,C3,grain,FACE,field,550,380,170,,,,,,N100,,2003,52.3,10.43,Germany,Wroblewitz et al 2013,2,Na,0,0,Loladze,2013
Lactuca sativa 'Batavia Rubia Munguia',Asteraceae,Lactuca,sativa,Batavia Rubia Munguia,lettuce,C3,shoot,greenhouse,pot,700,392,308,inner NM leaves,,,,,,,,,,,Baslam et al 2012,5,Zn,0,0,Loladze,2012
Lactuca sativa 'Rex',Asteraceae,Lactuca,sativa,Rex,lettuce,C3,shoot,chamber,pot,1200,400,800,,,,,,,,,,,,Holley et al 2022,12,Ca,0,0,snowball,2022
Lactuca sativa 'Rouxai',Asteraceae,Lactuca,sativa,Rouxai,lettuce,C3,shoot,chamber,pot,1200,400,800,,,,,,,,,,,,Holley et al 2022,12,Cu,0,0,snowball,2022
Lactuca sativa 'Rex',Asteraceae,Lactuca,sativa,Rex,lettuce,C3,shoot,chamber,pot,800,400,400,,,,,,,,,,,,Holley et al 2022,12,Mg,0,0,snowball,2022
