CO2 Rise Directly Impairs Crop Nutritional Quality,,,,,,,,,,,,,,,,,,,
Data S3: Bootstrapping Results, see Data S4 for details,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"By S.F. ter Haar*, P.M. van Bodegom, and L. Scherer",,,,,,,,,,,,,,,,,,,
"Institute of Environmental Sciences (CML), Leiden University, Leiden, The Netherlands",,,,,,,,,,,,,,,,,,,
*email: s.f.ter.haar@cml.leidenuniv.nl,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
mean,2.5,97.5,power,p-value,m,class,studytype,plottype,element,c3c4,tissue,Family,Genus,Common Name,Species,Cultivar,2.50%,mean%,97.50%
-0.0327,-0.0348,-0.0306,1,0,31718,entire_dataset,,,,,,,,,,,-3.4201,-3.2171,-3.0137
-0.04,-0.0428,-0.0373,1,0,19763,studytype+plottype,FACE,field,,,,,,,,,-4.1897,-3.9211,-3.6613
-0.0518,-0.0619,-0.0418,1,0,1416,studytype+plottype,OTC,field,,,,,,,,,-6.0023,-5.0481,-4.0938
-0.0261,-0.0336,-0.0185,1,0,1871,studytype+plottype,OTC,pot,,,,,,,,,-3.3042,-2.5762,-1.833
-0.0164,-0.0193,-0.0134,1,0,6140,studytype+plottype,chamber,pot,,,,,,,,,-1.9115,-1.6266,-1.3311
-0.0081,-0.0187,0.0029,1,0.1386,2464,studytype+plottype,greenhouse,pot,,,,,,,,,-1.8526,-0.8067,0.2904
-0.0512,-0.0763,-0.0257,0.9728,0,64,studytype+plottype,tunnel,field,,,,,,,,,-7.3462,-4.9911,-2.5373
-0.014,-0.0177,-0.0103,1,0,8604,studytypeSimple+plottype,indoor,pot,,,,,,,,,-1.7544,-1.3902,-1.0247
-0.0408,-0.0435,-0.0382,1,0,21243,studytypeSimple+plottype,outdoor,field,,,,,,,,,-4.2567,-3.9979,-3.748
-0.026,-0.0336,-0.0185,1,0,1871,studytypeSimple+plottype,outdoor,pot,,,,,,,,,-3.3042,-2.5665,-1.833
0.0208,-0.0019,0.0445,0.9889,0.0776,407,element,,,Al,,,,,,,,-0.1898,2.1018,4.5505
-0.0685,-0.0823,-0.0542,1,0,304,element,,,As,,,,,,,,-7.9004,-6.6207,-5.2757
-0.03,-0.0384,-0.0217,1,0,1150,element,,,B,,,,,,,,-3.7672,-2.9554,-2.1466
-0.0636,-0.0932,-0.0344,0.9143,0,22,element,,,Ba,,,,,,,,-8.8989,-6.162,-3.3815
0.0355,-0.0482,0.1209,0.2055,0.4046,57,element,,,Br,,,,,,,,-4.7057,3.6138,12.8512
0.0207,0.012,0.0292,1,0,342,element,,,C,,,,,,,,1.2072,2.0916,2.963
-0.0104,-0.0203,-0.0002,1,0.0414,2464,element,,,Ca,,,,,,,,-2.0095,-1.0346,-0.02
-0.0827,-0.1264,-0.0358,0.5423,0.0008,388,element,,,Cd,,,,,,,,-11.8738,-7.9373,-3.5167
-0.046,-0.1172,0.0203,0.3246,0.1916,84,element,,,Cl,,,,,,,,-11.0593,-4.4958,2.0507
-0.034,-0.048,-0.0204,1,0,293,element,,,Co,,,,,,,,-4.6866,-3.3428,-2.0193
0.2305,0.1204,0.3524,0.1159,0.0002,134,element,,,Cr,,,,,,,,12.7948,25.9229,42.2477
-0.0261,-0.0353,-0.0161,1,0,1901,element,,,Cu,,,,,,,,-3.4684,-2.5762,-1.5971
-0.0621,-0.069,-0.0551,1,0,2625,element,,,Fe,,,,,,,,-6.6673,-6.0211,-5.3609
-0.0242,-0.0286,-0.02,1,0,2297,element,,,K,,,,,,,,-2.8195,-2.391,-1.9801
-0.0301,-0.0349,-0.0251,1,0,2280,element,,,Mg,,,,,,,,-3.4298,-2.9652,-2.4788
-0.0452,-0.0523,-0.0382,1,0,2364,element,,,Mn,,,,,,,,-5.0956,-4.4194,-3.748
-0.0423,-0.0747,-0.0107,0.876,0.01,501,element,,,Mo,,,,,,,,-7.1978,-4.1418,-1.0643
-0.0653,-0.0701,-0.0605,1,0,1464,element,,,N,,,,,,,,-6.7699,-6.3214,-5.8706
-0.0595,-0.0635,-0.0556,1,0,2194,element,,,N proxy,,,,,,,,-6.1526,-5.7764,-5.4083
-0.0334,-0.0582,-0.0082,0.9748,0.0082,823,element,,,Na,,,,,,,,-5.6539,-3.2848,-0.8166
0.1042,0.086,0.1227,0.9996,0,426,element,,,Ni,,,,,,,,8.9806,10.9822,13.0545
-0.0263,-0.03,-0.0225,1,0,2466,element,,,P,,,,,,,,-2.9554,-2.5957,-2.2249
0.2569,0.1405,0.3772,0.1242,0,63,element,,,Pb,,,,,,,,15.0849,29.2916,45.8196
-0.0148,-0.0253,-0.0043,1,0.0059,518,element,,,Phyt,,,,,,,,-2.4983,-1.4691,-0.4291
